SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION, ,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,j,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,23 East Ave,Lawrence,NY,11559,98000,,,Lawrence,,4300,,83,,,Active,,,http://www.redfin.com/NY/Lawrence/23-East-Ave-11559/home/20386962,MLSLI,3173693,N,Y,40.636359,-73.7424648
MLS Listing,,Condo/Co-op,5650 Netherland Ave Unit 2 C,Bronx,NY,10471,146900,1,1,Bronx,750,,1949,83,196,,Active,,,http://www.redfin.com/NY/The-Bronx/5650-Netherland-Ave-10471/unit-2-C/home/167054931,HGMLS,5105742,N,Y,40.905255,-73.906121
MLS Listing,,Condo/Co-op,Unit at 40 E 43rd St,Brooklyn,NY,11203,159500,1,1,East Flatbush,,,,84,,,Active,,,http://www.redfin.com/NY/Brooklyn/40-E-43rd-St-11203/home/169436741,REBNY,UCOM1854712,N,Y,40.6554262,-73.9379352
MLS Listing,,Condo/Co-op,3636 Fieldston Rd Unit 2M,Bronx,NY,10463,163000,1,1,Riverdale,750,,1955,85,217,,Active,,,http://www.redfin.com/NY/The-Bronx/3636-Fieldston-Rd-10463/unit-2M/home/169432448,HGMLS,5103773,N,Y,40.8868274,-73.9062668
MLS Listing,,Condo/Co-op,,Jamaica Hills,NY,11432,129000,0,1,Saxony,900,,1950,85,143,650,Active,,,http://www.redfin.com/NY/Unknown/Undisclosed-address-11432/home/144522932,MLSLI,3173035,N,Y,40.710153,-73.797972
MLS Listing,,Condo/Co-op,3 Fordham Hill Oval Unit 7H,Bronx,NY,10468,165000,1,1,Bronx,700,,1951,85,236,,Active,,,http://www.redfin.com/NY/The-Bronx/3-Fordham-Hill-Oval-10468/unit-7H/home/44800767,HGMLS,5103075,N,Y,40.8646489,-73.9082109
MLS Listing,,Condo/Co-op,Unit at 3131 Grand Concourse,Bronx,NY,10468,115000,1,1,Bedford Park,750,,,85,,,Active,,,http://www.redfin.com/NY/Bronx/3131-Grand-Concourse-10468/home/44602448,REBNY,CITI5916520,N,Y,40.8751002,-73.886699
MLS Listing,,Condo/Co-op,31 Vera St Unit D,Staten Island,NY,10305,128900,0,1,Dongan Hills-Above Hylan,450,450,1969,86,286,308,Active,,,http://www.redfin.com/NY/Unknown/31-Vera-St-10305/unit-D/home/145384023,SIBORMLS,1133033,N,Y,40.5849807,-74.0973116
MLS Listing,,Condo/Co-op,84-29 155th Ave Unit 5N,Howard Beach,NY,11414,105000,0,1,Pembroke,,,1965,89,,,Active,,,http://www.redfin.com/NY/Howard-Beach/84-29-155th-Ave-11414/unit-5N/home/160409993,MLSLI,3172161,N,Y,40.6651957,-73.8485628
MLS Listing,,Condo/Co-op,36 Hamilton Ave Unit 3g,Staten Island,NY,10301,170000,1,1,St. George,500,500,1963,90,340,,Active,,,http://www.redfin.com/NY/Staten-Island/36-Hamilton-Ave-10301/unit-3G/home/77420724,SIBORMLS,1132934,N,Y,40.6448994,-74.0787997
MLS Listing,,Vacant Land,2324 43rd St,Astoria,NY,11105,175000,,,Astoria,,568,,91,,,Active,,,http://www.redfin.com/NY/Long-Island-City/23-24-43rd-St-11105/home/168641153,MLSLI,3171528,N,Y,40.769137,-73.906785
MLS Listing,,Vacant Land,190 N Burgher Ave,Staten Island,NY,10310,2000,0,,West Brighton,,4500,,92,,,Active,,,http://www.redfin.com/NY/Staten-Island/190-N-Burgher-Ave-10310/home/56100106,SIBORMLS,1132900,N,Y,40.636477,-74.115122
MLS Listing,,Condo/Co-op,2750 Johnson Ave Unit 3-L,Bronx,NY,10463,145000,0,1,Riverdale,500,,1960,92,290,,Active,,,http://www.redfin.com/NY/Bronx/2750-Johnson-Ave-10463/unit-3L/home/44653193,HGMLS,5095511,N,Y,40.8801731,-73.91173
MLS Listing,,Multi-Family (2-4 Unit),111-10 106th St,Ozone Park,NY,11417,140000,4,2,Ozone Park,,2158,1925,92,,,Active,,,http://www.redfin.com/NY/Jamaica/111-10-106th-St-11417/home/20728417,MLSLI,3171188,N,Y,40.677293,-73.83371
