#,Zip Code,Location,City,Population,People / Sq. Mile,National Rank
293,10530,"41.023712, -73.812810","Hartsdale, New York","12,453","4,100.18","#2,267"
294,14226,"42.971014, -78.796455","Buffalo, New York","29,382","4,086.59","#2,278"
295,11577,"40.784638, -73.640578","Roslyn Heights, New York","12,176","4,085.05","#2,279"
296,11558,"40.611322, -73.662331","Island Park, New York","8,553","4,058.93","#2,300"
297,13501,"43.081159, -75.225020","Utica, New York","36,076","4,053.65","#2,304"
298,11714,"40.743967, -73.479983","Bethpage, New York","23,012","3,919.34","#2,382"
299,13206,"43.074194, -76.105762","Syracuse, New York","16,562","3,872.20","#2,414"
300,14614,"43.157055, -77.615197","Rochester, New York",926,"3,864.27","#2,418"
301,10309,"40.530847, -74.221178","Staten Island, New York","27,207","3,862.03","#2,423"
302,11542,"40.869660, -73.628113","Glen Cove, New York","27,693","3,851.36","#2,437"
303,10923,"41.203213, -74.002535","Garnerville, New York","9,273","3,839.40","#2,448"
304,11741,"40.794354, -73.069968","Holbrook, New York","27,857","3,777.43","#2,501"
305,11751,"40.733051, -73.212519","Islip, New York","15,083","3,740.96","#2,532"
306,10503,"41.025560, -73.874987","Ardsley On Hudson, New York",115,"3,711.09","#2,553"
307,14445,"43.113720, -77.489532","East Rochester, New York","8,179","3,627.26","#2,628"
308,12801,"43.312294, -73.645255","Glens Falls, New York","14,374","3,620.84","#2,638"
309,11548,"40.814616, -73.622003","Greenvale, New York","2,514","3,577.51","#2,686"
310,11798,"40.751870, -73.371077","Wyandanch, New York","15,199","3,564.91","#2,699"
311,10605,"41.007018, -73.744338","White Plains, New York","17,414","3,539.91","#2,714"
312,11950,"40.809045, -72.847221","Mastic, New York","14,583","3,510.68","#2,741"
313,11731,"40.862927, -73.316829","East Northport, New York","31,250","3,510.64","#2,742"
314,10952,"41.116210, -74.078881","Monsey, New York","31,947","3,484.57","#2,760"
315,11755,"40.858961, -73.120478","Lake Grove, New York","11,402","3,475.49","#2,765"
316,11706,"40.720471, -73.259399","Bay Shore, New York","60,460","3,435.12","#2,794"
317,10960,"41.092282, -73.925728","Nyack, New York","14,687","3,431.92","#2,798"
318,11718,"40.723177, -73.268488","Brightwaters, New York","3,061","3,431.70","#2,799"
319,10603,"41.057813, -73.777196","White Plains, New York","16,389","3,426.90","#2,801"
320,14610,"43.143492, -77.545899","Rochester, New York","14,534","3,424.82","#2,802"
321,11720,"40.869907, -73.081937","Centereach, New York","28,105","3,394.21","#2,830"
322,11509,"40.587962, -73.729710","Atlantic Beach, New York","2,861","3,375.95","#2,841"
323,14043,"42.900438, -78.701764","Depew, New York","26,537","3,365.10","#2,851"
324,14802,"42.254333, -77.789646","Alfred, New York","3,954","3,323.13","#2,889"
325,13219,"43.041266, -76.224195","Syracuse, New York","15,700","3,294.10","#2,921"
326,11530,"40.728551, -73.631351","Garden City, New York","26,482","3,276.11","#2,948"
327,11767,"40.847754, -73.145703","Nesconset, New York","13,841","3,271.23","#2,951"
328,10528,"40.974752, -73.725777","Harrison, New York","12,312","3,238.25","#2,994"
329,10804,"40.946841, -73.788051","New Rochelle, New York","14,131","3,211.79","#3,010"
330,11738,"40.837386, -73.037968","Farmingville, New York","16,811","3,211.46","#3,011"
331,10532,"41.100192, -73.798695","Hawthorne, New York","5,582","3,197.88","#3,023"
332,10502,"41.014059, -73.839744","Ardsley, New York","4,935","3,153.93","#3,052"
333,11793,"40.650294, -73.514561","Wantagh, New York","32,753","3,150.70","#3,056"
334,10954,"41.099029, -74.012296","Nanuet, New York","23,189","3,123.73","#3,075"
335,10583,"40.988682, -73.789204","Scarsdale, New York","39,091","3,121.83","#3,078"
336,11557,"40.635065, -73.691343","Hewlett, New York","7,966","3,112.17","#3,091"
337,11776,"40.913812, -73.046148","Port Jefferson Station, New York","22,440","3,087.49","#3,109"
338,11772,"40.771471, -72.995182","Patchogue, New York","41,913","3,071.46","#3,131"
339,14606,"43.170996, -77.697914","Rochester, New York","29,187","2,981.03","#3,222"
